DATE,RGDPNACNA666NRUG
1952-01-01,557468.3125
1953-01-01,630467.125
1954-01-01,586751.375
1955-01-01,641581.4375
1956-01-01,695460.25
1957-01-01,718725.3125
1958-01-01,739635.3125
1959-01-01,724461.0625
1960-01-01,689786.875
1961-01-01,558305.375
1962-01-01,591366.25
1963-01-01,677432.875
1964-01-01,771682.9375
1965-01-01,857507.25
1966-01-01,885350.75
1967-01-01,889345.4375
1968-01-01,865986.375
1969-01-01,953460.25
1970-01-01,1085341.125
1971-01-01,1182455.75
1972-01-01,1173581.875
1973-01-01,1261324.375
1974-01-01,1299351.25
1975-01-01,1391712.0
1976-01-01,1349881.875
1977-01-01,1428767.0
1978-01-01,1594763.125
1979-01-01,1719783.125
1980-01-01,1804728.625
1981-01-01,1861601.125
1982-01-01,2031704.875
1983-01-01,2178264.75
1984-01-01,2414971.0
1985-01-01,2602347.25
1986-01-01,2780601.0
1987-01-01,3008488.0
1988-01-01,3142030.0
1989-01-01,3153668.75
1990-01-01,3165272.0
1991-01-01,3300483.75
1992-01-01,3556377.75
1993-01-01,3920962.75
1994-01-01,4256331.0
1995-01-01,4657186.5
1996-01-01,4990733.0
1997-01-01,5274995.0
1998-01-01,5305999.5
1999-01-01,5573186.0
2000-01-01,5962253.0
2001-01-01,6370915.0
2002-01-01,6969823.0
2003-01-01,7496914.0
2004-01-01,8225812.5
2005-01-01,9019761.0
2006-01-01,9982318.0
2007-01-01,10976751.0
2008-01-01,11616248.0
2009-01-01,12577917.0
2010-01-01,13947309.0
2011-01-01,14918415.0
2012-01-01,15416000.0
2013-01-01,16562428.0
2014-01-01,17711682.0
2015-01-01,18379366.0
2016-01-01,19132416.0
2017-01-01,19687162.0
2018-01-01,19841296.0
2019-01-01,20572606.0
